"title","title_type","genre","runtime","mpaa_rating","studio","thtr_rel_year","thtr_rel_month","thtr_rel_day","dvd_rel_year","dvd_rel_month","dvd_rel_day","imdb_rating","imdb_num_votes","critics_rating","critics_score","audience_rating","audience_score","best_pic_nom","best_pic_win","best_actor_win","best_actress_win","best_dir_win","top200_box","director","actor1","actor2","actor3","actor4","actor5","imdb_url","rt_url"
"Twilight Zone---The Movie","Feature Film","Horror",101,"PG","Warner Bros. Pictures",1983,6,24,2007,10,9,6.5,24783,"Fresh",65,"Spilled",55,"no","no","no","no","no","no","Joe Dante","Dan Aykroyd","John Lithgow","Nancy Cartwright","Albert Brooks","Vic Morrow","http://www.imdb.com/title/tt0086491/","//www.rottentomatoes.com/m/twilight_zone_the_movie/"
"The Golden Bowl","Feature Film","Drama",130,"R","Lions Gate Films",2000,5,14,2001,11,6,6,3745,"Rotten",54,"Spilled",39,"no","no","no","no","no","no","James Ivory","Uma Thurman","Kate Beckinsale","Jeremy Northam","Nick Nolte","Anjelica Huston","http://www.imdb.com/title/tt0200669/","//www.rottentomatoes.com/m/golden_bowl/"
"Rio 2","Feature Film","Animation",101,"G","20th Century Fox",2014,4,11,2014,7,15,6.4,54726,"Rotten",48,"Spilled",59,"no","no","yes","no","no","no","Carlos Saldanha","Anne Hathaway","Jesse Eisenberg","will.i.am","Jamie Foxx","George Lopez","http://www.imdb.com/title/tt2357291/","//www.rottentomatoes.com/m/rio_2/"
"Easy","Feature Film","Drama",99,"R","Magic Lamp Releasing",2004,11,26,2005,3,1,5.9,1493,"Rotten",59,"Spilled",47,"no","no","no","no","no","no","Jane Weinstock","Marguerite Moreau","Naveen Andrews","Emily Deschanel","Jordan Garrett","Caroline Goodall","http://www.imdb.com/title/tt0379270/","//www.rottentomatoes.com/m/easy/"
"Major League: Back to the Minors","Feature Film","Comedy",100,"PG-13","Warner Home Video",1998,4,17,2000,5,16,4.4,5616,"Rotten",21,"Spilled",24,"no","no","no","no","no","no","John Warren","Scott Bakula","Corbin Bernsen","Dennis Haysbert","Takaaki Ishibashi","Jensen Daggett","http://www.imdb.com/title/tt0120742/","//www.rottentomatoes.com/m/major_league_back_to_the_minors/"
"The Wedding Banquet (Xi yan)","Feature Film","Drama",106,"R","Good Machine",1993,8,4,2004,6,15,7.6,10492,"Fresh",96,"Upright",87,"no","no","no","no","yes","no","Ang Lee","Winston Chao","May Chin","Mitchell Lichtenstein","Sihung Lung","Ah-Leh Gua","http://www.imdb.com/title/tt0107156/","//www.rottentomatoes.com/m/wedding_banquet/"
"Gotti","TV Movie","Drama",116,"R","HBO Video",1996,8,17,2000,9,19,7.3,4451,"Fresh",60,"Upright",83,"no","no","no","no","no","no","Robert Harmon","Armand Assante","William Forsythe","Anthony Quinn","Vincent Pastore","Richard C. Sarafian","http://www.imdb.com/title/tt0116441/","//www.rottentomatoes.com/m/gotti/"
"Strange Brew","Feature Film","Comedy",90,"R","WARNER BROTHERS PICTURES",1983,8,19,2002,10,1,6.8,12269,"Fresh",71,"Upright",81,"no","no","no","no","no","no","Dave Thomas","Max von Sydow","Paul Dooley","Lynne Griffin","Angus MacInnes","Tom Harvey","http://www.imdb.com/title/tt0086373/","//www.rottentomatoes.com/m/strange_brew/"
"Robocop 2","Feature Film","Action & Adventure",117,"R","MGM",1990,6,22,1997,10,22,5.7,60335,"Rotten",32,"Spilled",35,"no","no","no","no","no","no","Irvin Kershner","Peter Weller","Dan O'Herlihy","Nancy Allen","Felton Perry","Belinda Bauer","http://www.imdb.com/title/tt0100502/","//www.rottentomatoes.com/m/robocop_2/"
"Riders (Steal)","Feature Film","Action & Adventure",83,"R","Miramax",2002,8,5,2005,4,25,5.5,5035,"Rotten",29,"Spilled",34,"no","no","no","no","no","no","Gerard Pires","Natasha Henstridge","Stephen Dorff","Bruce Payne","Karen Cliche","Cle Bennett","http://www.imdb.com/title/tt0282552/","//www.rottentomatoes.com/m/riders-steal/"
"Warrior","Feature Film","Drama",140,"PG-13","Lionsgate",2011,9,9,2011,12,20,8.2,315051,"Certified Fresh",82,"Upright",92,"no","no","no","no","no","no","Gavin O'Connor","Joel Edgerton","Tom Hardy","Nick Nolte","Jennifer Morrison (II)","Frank Grillo","http://www.imdb.com/title/tt1291584/","//www.rottentomatoes.com/m/1212910-warrior/"
"Percy Jackson: Sea of Monsters","Feature Film","Drama",106,"PG","20th Century Fox",2013,8,7,2013,12,17,5.9,82737,"Rotten",42,"Spilled",55,"no","no","no","no","no","no","Thor Freudenthal","Logan Lerman","Brandon T. Jackson","Alexandra Daddario","Nathan Fillion","Jake Abel","http://www.imdb.com/title/tt1854564/","//www.rottentomatoes.com/m/percy_jackson_sea_of_monsters/"
"Visioneers","Feature Film","Drama",94,"R","Gravitas",2008,6,12,2009,7,21,6.1,4944,"Fresh",70,"Spilled",54,"no","no","no","no","no","no","Jared Drake","Zach Galifianakis","Judy Greer","Mia Maestro","Missi Pyle","Aubrey Morris","http://www.imdb.com/title/tt0833557/","//www.rottentomatoes.com/m/visioneers/"
"Bats","Feature Film","Drama",91,"R","Destination Films",1999,10,22,2001,8,7,3.6,8229,"Rotten",17,"Spilled",14,"no","no","no","no","no","no","Louis Morneau","Lou Diamond Phillips","Dina Meyer","Bob Gunton","Leon","Carlos Jacott","http://www.imdb.com/title/tt0200469/","//www.rottentomatoes.com/m/bats/"
"The Brother from Another Planet","Feature Film","Drama",108,"R","Twentieth Century Fox Home Entertainment",1984,9,7,2003,10,25,6.8,4516,"Fresh",92,"Upright",76,"no","no","no","no","no","no","John Sayles","Joe Morton","Darryl Edwards","Steve James","Leonard Jackson","Bill Cobbs","http://www.imdb.com/title/tt0087004/","//www.rottentomatoes.com/m/the_brother_from_another_planet/"
"Blame It on Rio","Feature Film","Comedy",100,"R","MGM",1984,2,17,2001,5,22,5.7,7858,"Rotten",9,"Spilled",40,"no","no","no","no","no","no","Stanley Donen","Michael Caine","Michelle Johnson","Joseph Bologna","Valerie Harper","Demi Moore","http://www.imdb.com/title/tt0086973/","//www.rottentomatoes.com/m/blame_it_on_rio/"
"North Face (Nordwand)","Feature Film","Drama",126,"Unrated","Music Box Films",2010,1,29,2010,5,11,7.4,10938,"Certified Fresh",84,"Upright",82,"no","no","no","no","no","no","Philipp Stolzl","Benno Furmann","Florian Lukas","Johanna Wokalek","Georg Friedrich","Simon Schwarz","http://www.imdb.com/title/tt0844457/","//www.rottentomatoes.com/m/north_face/"
"Predator","Feature Film","Action & Adventure",107,"R","20th Century Fox",1987,6,12,2000,12,26,7.8,279704,"Certified Fresh",78,"Upright",87,"no","no","no","no","no","no","Shane Black","Arnold Schwarzenegger","Carl Weathers","Elpidia Carrillo","Bill Duke","Jesse Ventura","http://www.imdb.com/title/tt0093773/","//www.rottentomatoes.com/m/predator/"
"The Reef","Feature Film","Mystery & Suspense",94,"R","Image Entertainment",2010,5,15,2011,7,19,5.8,11192,"Fresh",78,"Spilled",41,"no","no","no","no","no","no","Andrew Traucki","Damian Walshe-Howling","Zoe Naylor","Adrienne Pickering","Gyton Grantley","Kieran Darcy-Smith","http://www.imdb.com/title/tt1320291/","//www.rottentomatoes.com/m/the_reef_2009/"
"Dirty Sanchez: The Movie","Documentary","Comedy",94,"R",NA,2007,9,11,2007,9,4,6.2,3851,"Rotten",40,"Upright",75,"no","no","no","no","no","no","Jim Hickey","Lee Dainton","Dan Joyce","Michael Pancho Locke","Matt Pritchard","Howard Marks","http://www.imdb.com/title/tt0758743/","//www.rottentomatoes.com/m/dirty_sanchez/"
"Shakedown","Feature Film","Drama",97,"R","MCA Universal Home Video",1988,5,6,1998,6,15,5.8,1838,"Fresh",71,"Spilled",43,"no","no","no","no","no","no","James Glickenhaus","Sam Elliott","Peter Weller","Patricia Charbonneau","Blanche Baker","Richard Brooks (VI)","http://www.imdb.com/title/tt0096087/","//www.rottentomatoes.com/m/1018704-shakedown/"
"The Principal","Feature Film","Drama",109,"R","Sony Pictures Home Entertainment",1987,9,18,2002,7,30,6.2,6552,"Rotten",50,"Spilled",52,"no","no","no","no","no","no","Christopher Cain","James Belushi","Michael Wright","Louis Gossett Jr","Rae Dawn Chong","Esai Morales","http://www.imdb.com/title/tt0093780/","//www.rottentomatoes.com/m/principal/"
"A New Life","Feature Film","Drama",104,"PG-13","Paramount Pictures",1988,3,25,2013,2,26,5.7,390,"Rotten",29,"Spilled",25,"no","no","no","no","no","no","Alan Alda","Alan Alda","Ann-Margret","Mary Kay Place","John Shea","Hal Linden","http://www.imdb.com/title/tt0095726/","//www.rottentomatoes.com/m/new_life/"
"Arlington Road","Feature Film","Mystery & Suspense",117,"R","Sony Pictures Home Entertainment",1999,7,9,2001,12,11,7.2,68429,"Fresh",62,"Upright",74,"no","no","yes","no","no","no","Mark Pellington","Jeff Bridges","Tim Robbins","Hope Davis","Joan Cusack","Robert Gossett","http://www.imdb.com/title/tt0137363/","//www.rottentomatoes.com/m/arlington_road/"
"Annie Hall","Feature Film","Comedy",93,"PG","United Artists",1977,4,20,1998,4,28,8.1,182983,"Certified Fresh",98,"Upright",93,"yes","yes","no","yes","yes","no","Woody Allen","Woody Allen","Diane Keaton","Tony Roberts","Paul Simon","Carol Kane","http://www.imdb.com/title/tt0075686/","//www.rottentomatoes.com/m/annie_hall/"
"Charlie: The Life and Art of Charles Chaplin","Documentary","Documentary",132,"Unrated","Warner Bros.",2004,2,13,NA,NA,NA,8,1147,"Fresh",95,"Upright",90,"no","no","no","no","no","no","Richard Schickel","Woody Allen","Johnny Depp","Sydney Pollack","Milos Forman","Marcel Marceau","http://www.imdb.com/title/tt0379730/","//www.rottentomatoes.com/m/charlie_the_life_and_art_of_charles_chaplin/"
"The Sessions","Feature Film","Drama",95,"R","Fox Searchlight Pictures",2012,10,19,2013,2,12,7.2,35635,"Certified Fresh",93,"Upright",80,"no","no","no","yes","no","no","Ben Lewin","John Hawkes","Helen Hunt","William H. Macy","Annika Marks","Moon Bloodgood","http://www.imdb.com/title/tt1866249/","//www.rottentomatoes.com/m/the_sessions/"
"Prison","Feature Film","Drama",102,"R","New World Video",1988,3,4,2013,2,19,5.9,2569,"Rotten",40,"Spilled",34,"no","no","no","no","no","no","Renny Harlin","Lane Smith","Viggo Mortensen","Chelsea Field","Andre De Shields","Lincoln Kilpatrick","http://www.imdb.com/title/tt0095904/","//www.rottentomatoes.com/m/prison/"
"Kiss of Death","Feature Film","Drama",101,"R","Twentieth Century Fox Home Entertainment",1995,5,19,2004,6,1,5.9,13980,"Fresh",68,"Spilled",37,"no","no","yes","yes","no","no","Barbet Schroeder","David Caruso","Samuel L. Jackson","Helen Hunt","Kathryn Erbe","Nicolas Cage","http://www.imdb.com/title/tt0113552/","//www.rottentomatoes.com/m/1060720-kiss_of_death/"
"Citizen X","TV Movie","Drama",105,"R","HBO Video",1995,2,25,2000,7,11,7.7,11477,"Fresh",86,"Upright",86,"no","no","no","no","no","no","Chris Gerolmo","Stephen Rea","Donald Sutherland","Jeffrey DeMunn","Max von Sydow","Joss Ackland","http://www.imdb.com/title/tt0112681/","//www.rottentomatoes.com/m/citizen_x/"
"The Comebacks","Feature Film","Comedy",84,"PG-13","Fox Atomic",2007,10,19,2008,1,29,4.1,9853,"Rotten",9,"Spilled",33,"no","no","no","no","no","no","Tom Brady","David Koechner","Carl Weathers","Melora Hardin","Matthew Lawrence","Brooke Nevin","http://www.imdb.com/title/tt0790804/","//www.rottentomatoes.com/m/comebacks/"
"The Other Woman","Feature Film","Drama",102,"R","IFC Films",2011,2,4,2011,5,17,6.4,14970,"Rotten",39,"Spilled",45,"no","no","no","yes","no","no","Don Roos","Natalie Portman","Lisa Kudrow","Scott Cohen","Charlie Tahan","Lauren Ambrose","http://www.imdb.com/title/tt1032825/","//www.rottentomatoes.com/m/the_other_woman_2011/"
"Pusher III: I'm the Angel of Death","Feature Film","Drama",90,"R","Nordisk Film Biografdistributi",2005,9,2,2006,11,7,7.3,9001,"Fresh",92,"Upright",81,"no","no","no","no","no","no","Nicolas Winding Refn","Zlatko Buric","Zlatko Burik","Marinela Dekic","Ilyas Agac","Slavko Labovic","http://www.imdb.com/title/tt0425379/","//www.rottentomatoes.com/m/pusher_iii_im_the_angel_of_death/"
"Two for the Money","Feature Film","Drama",122,"R","Universal Pictures",2005,10,7,2006,1,17,6.2,35868,"Rotten",22,"Spilled",48,"no","no","yes","no","no","no","D.J. Caruso","Al Pacino","Matthew McConaughey","Rene Russo","Armand Assante","Jeremy Piven","http://www.imdb.com/title/tt0417217/","//www.rottentomatoes.com/m/two_for_the_money/"
"Star Trek V - The Final Frontier","Feature Film","Action & Adventure",107,"PG","Paramount Pictures",1989,6,9,1999,4,20,5.4,41767,"Rotten",21,"Spilled",24,"no","no","no","no","no","no","William Shatner","William Shatner","Leonard Nimoy","DeForest Kelley","James Doohan","Walter Koenig","http://www.imdb.com/title/tt0098382/","//www.rottentomatoes.com/m/star_trek_v_the_final_frontier/"
"Cop & 1/2","Feature Film","Comedy",97,"PG","MCA Universal Home Video",1993,4,2,1999,1,5,3.8,6954,"Rotten",17,"Spilled",35,"no","no","no","no","no","no","Henry Winkler","Burt Reynolds","Norman D. Golden II","Ruby Dee","Holland Taylor","Ray Sharkey","http://www.imdb.com/title/tt0106613/","//www.rottentomatoes.com/m/cop_and_12/"
"Django Unchained","Feature Film","Other",165,"R","The Weinstein Co.",2012,12,25,2013,4,16,8.5,893008,"Certified Fresh",88,"Upright",91,"yes","no","yes","no","no","no","Quentin Tarantino","Jamie Foxx","Christoph Waltz","Leonardo DiCaprio","Gerald McRaney","Samuel L. Jackson","http://www.imdb.com/title/tt1853728/","//www.rottentomatoes.com/m/django_unchained_2012/"
"Cousins","Feature Film","Drama",109,"PG-13","Paramount Home Video",1989,1,1,2002,1,15,6.2,3467,"Rotten",50,"Upright",69,"no","no","no","no","no","no","Joel Schumacher","Ted Danson","Isabella Rossellini","Sean Young","William L. Petersen","Lloyd Bridges","http://www.imdb.com/title/tt0097116/","//www.rottentomatoes.com/m/cousins/"
"Spy Game","Feature Film","Drama",126,"R","Universal Pictures",2001,11,21,2002,4,16,7,117688,"Fresh",66,"Upright",75,"no","no","no","no","no","no","Tony Scott","Robert Redford","Brad Pitt","Catherine McCormack","Stephen Dillane","Larry Bryggman","http://www.imdb.com/title/tt0266987/","//www.rottentomatoes.com/m/spy_game/"
"Held Up","Feature Film","Comedy",89,"PG-13","Trimark",2000,5,12,2000,8,29,5.1,2817,"Rotten",17,"Spilled",43,"no","no","yes","no","no","no","Steve Rash","Jamie Foxx","Nia Long","Barry Corbin","John Cullum","Jake Busey","http://www.imdb.com/title/tt0165831/","//www.rottentomatoes.com/m/held_up/"
"Striking Distance","Feature Film","Mystery & Suspense",102,"R","Sony Pictures Home Entertainment",1993,9,17,2001,3,6,5.8,32751,"Rotten",14,"Spilled",35,"no","no","no","no","no","no","Rowdy Herrington","Bruce Willis","Tom Sizemore","Sarah Jessica Parker","Brion James","Dennis Farina","http://www.imdb.com/title/tt0108238/","//www.rottentomatoes.com/m/striking_distance/"
"One Night With the King","Feature Film","Drama",123,"PG","Gener8Xion Entertainment",2006,10,13,2007,1,30,6.3,5704,"Rotten",19,"Upright",78,"no","no","no","no","no","no","Michael O. Sajbel","Peter O'Toole","Tiffany Dupont","Omar Sharif","Luke Goss","John Rhys-Davies","http://www.imdb.com/title/tt0430431/","//www.rottentomatoes.com/m/one_night_with_the_king/"
"Phil Ochs: There But For Fortune","Documentary","Musical & Performing Arts",96,"Unrated","First Run Features",2011,1,5,2011,7,19,7.6,318,"Fresh",97,"Upright",78,"no","no","no","no","no","no","Kenneth Bowser","Phil Ochs","Joan Baez","Tom Hayden","Pete  Seeger","Peter Yarrow","http://www.imdb.com/title/tt1597089/","//www.rottentomatoes.com/m/phil_ochs_there_but_for_fortune/"
"Lethal Weapon 4","Feature Film","Action & Adventure",127,"R","Warner Home Video",1998,7,10,2001,6,5,6.6,123989,"Rotten",52,"Upright",64,"no","no","no","no","no","no","Richard Donner","Danny Glover","Mel Gibson","Chris Rock","Jet Li","Joe Pesci","http://www.imdb.com/title/tt0122151/","//www.rottentomatoes.com/m/lethal_weapon_4/"
"101 Dalmatians","Feature Film","Action & Adventure",103,"G","Buena Vista Pictures",1996,11,29,1998,4,21,5.6,70209,"Rotten",38,"Spilled",40,"no","no","no","no","no","yes","Stephen Herek","Glenn Close","Jeff Daniels","Joely Richardson","Joan Plowright","Hugh Laurie","http://www.imdb.com/title/tt0115433/","//www.rottentomatoes.com/m/1074108-101_dalmatians/"
"Bhutto","Documentary","Documentary",111,"Unrated","First Run Entertainment",2010,12,3,2011,5,10,7.8,541,"Fresh",86,"Upright",88,"no","no","no","no","no","no","Duane Baughman","Tariq Ali","Reza Aslan","Diana Aveni","Benazir Bhutto","Fatima Bhutto","http://www.imdb.com/title/tt1524095/","//www.rottentomatoes.com/m/bhutto/"
"Deep Impact","Feature Film","Drama",120,"PG-13","Paramount Pictures",1998,5,8,1998,12,15,6.1,132215,"Rotten",48,"Spilled",43,"no","no","yes","no","no","no","Mimi Leder","Robert Duvall","Tea Leoni","Elijah Wood","Vanessa Redgrave","Maximilian Schell","http://www.imdb.com/title/tt0120647/","//www.rottentomatoes.com/m/deep_impact/"
"Shoot 'Em Up","Feature Film","Drama",86,"R","New Line Cinema",2007,9,7,2008,1,1,6.7,127458,"Fresh",67,"Upright",65,"no","no","no","no","no","no","Michael Davis","Clive Owen","Paul Giamatti","Monica Bellucci","Stephen McHattie","Greg Bryk","http://www.imdb.com/title/tt0465602/","//www.rottentomatoes.com/m/shoot_em_up/"
"The Room","Feature Film","Drama",99,"R","Chloe Productions",2003,6,27,2005,12,17,3.5,27769,"Rotten",35,"Spilled",46,"no","no","no","no","no","no","Tommy Wiseau","Tommy Wiseau","Juliette Danielle","Greg Sestero","Philip Haldiman","Carolyn Minnott","http://www.imdb.com/title/tt0368226/","//www.rottentomatoes.com/m/the_room_1998/"
"Made of Honor","Feature Film","Comedy",101,"PG-13","Sony Pictures/Columbia",2008,5,2,2008,9,16,5.8,52635,"Rotten",14,"Spilled",55,"no","no","no","no","no","no","Paul Weiland","Patrick Dempsey","Michelle Monaghan","Kevin Mckidd","Kathleen Quinlan","Sydney Pollack","http://www.imdb.com/title/tt0866439/","//www.rottentomatoes.com/m/made_of_honor/"
"The Longest Yard","Feature Film","Drama",121,"R","Paramount Home Video",1974,8,30,2001,1,30,7.1,12819,"Fresh",81,"Upright",75,"no","no","no","no","no","no","Robert Aldrich","Burt Reynolds","Eddie Albert","Ed Lauter","Michael Conrad","Malcolm Atterbury","http://www.imdb.com/title/tt0071771/","//www.rottentomatoes.com/m/1012665-longest_yard/"
"Dirty Love","Feature Film","Comedy",91,"R","First Look",2005,9,23,2005,12,6,3.5,6054,"Rotten",4,"Upright",67,"no","no","no","no","no","no","John Mallory Asher","Jenny McCarthy","Carmen Electra","Eddie Kaye Thomas","Kathy Griffin","Kam Heskin","http://www.imdb.com/title/tt0327643/","//www.rottentomatoes.com/m/dirty_love/"
"Berberian Sound Studio","Feature Film","Horror",92,"Unrated","IFC Films",2013,6,14,2013,12,10,6.2,9367,"Certified Fresh",84,"Spilled",54,"no","no","no","no","no","no","Peter Strickland","Toby Jones","Cosimo Fusco","Guido Adorni","Fatma Mohamed","Eugenia Caruso","http://www.imdb.com/title/tt1833844/","//www.rottentomatoes.com/m/berberian_sound_studio_2012/"
"A Good Old Fashioned Orgy","Feature Film","Comedy",95,"R","Samuel Goldwyn Films",2011,9,2,2011,12,27,6.2,17798,"Rotten",32,"Spilled",41,"no","no","no","no","no","no","Alex Gregory","Jason Sudeikis","Leslie Bibb","Lake Bell","Michelle Borth","Nick Kroll","http://www.imdb.com/title/tt1231586/","//www.rottentomatoes.com/m/a-good-old-fashioned-orgy/"
"May","Feature Film","Drama",93,"R","Lionsgate Releasing",2003,6,6,2003,7,15,6.7,26010,"Fresh",69,"Upright",75,"no","no","no","no","no","no","Lucky McKee","Angela Bettis","Jeremy Sisto","Anna Faris","James Duval","Nichole M. Hiltz","http://www.imdb.com/title/tt0303361/","//www.rottentomatoes.com/m/may/"
"Any Day Now","Feature Film","Drama",98,"R","Music Box Films",2012,12,14,2013,4,23,7.5,4515,"Certified Fresh",79,"Upright",76,"no","no","no","no","no","no","Travis Fine","Alan Cumming","Garret Dillahunt","Isaac Leyva","Gregg Henry","Frances Fisher","http://www.imdb.com/title/tt2066176/","//www.rottentomatoes.com/m/any_day_now_2012/"
"Africa: The Serengeti","Documentary","Documentary",39,"Unrated","Houston Museum of Natural Scie",1994,4,8,1998,11,18,7.3,535,"Fresh",100,"Upright",74,"no","no","no","no","no","no","George Casey","James Earl Jones",NA,NA,NA,NA,"http://www.imdb.com/title/tt0109049/","//www.rottentomatoes.com/m/imax_africa_the_serengeti/"
"Grosse Pointe Blank","Feature Film","Drama",107,"R","Buena Vista Internationa",1997,4,11,1998,5,19,7.4,71572,"Certified Fresh",79,"Upright",87,"no","no","no","no","no","no","George Armitage","John Cusack","Minnie Driver","Dan Aykroyd","Alan Arkin","Joan Cusack","http://www.imdb.com/title/tt0119229/","//www.rottentomatoes.com/m/grosse_pointe_blank/"
"Jack and Jill","Feature Film","Comedy",91,"PG","Sony Pictures",2011,11,11,2012,3,6,3.4,57933,"Rotten",3,"Spilled",37,"no","no","yes","no","no","no","Dennis Dugan","Adam Sandler","Al Pacino","Katie Holmes","Elodie Tougne","Rohan Chand","http://www.imdb.com/title/tt0810913/","//www.rottentomatoes.com/m/jack_and_jill_2011/"
"Sherman's March","Documentary","Documentary",157,"Unrated","First Run Features",1986,9,5,2004,4,6,7.5,1784,"Fresh",100,"Upright",86,"no","no","no","no","no","no","Ross McElwee","Charleen Swansea","Richard Leacock","Burt Reynolds","Charleen Swansea","Ross McElwee","http://www.imdb.com/title/tt0091943/","//www.rottentomatoes.com/m/1050454-1050454-shermans_march/"
"The Ninth Configuration (Twinkle, Twinkle, Killer Kane)","Feature Film","Drama",118,"R","Warner Bros.",1980,2,29,2002,9,17,7.2,3883,"Fresh",70,"Upright",79,"no","no","no","no","no","no","William Peter Blatty","Stacy Keach","Scott Wilson","Jason Miller","Ed Flanders","Neville Brand","http://www.imdb.com/title/tt0081237/","//www.rottentomatoes.com/m/ninth_configuration/"
"Mr. & Mrs. Bridge","Feature Film","Drama",126,"PG-13","Miramax Films",1990,11,23,2001,2,13,6.7,2282,"Fresh",80,"Spilled",42,"no","no","yes","yes","no","no","James Ivory","Paul Newman","Joanne Woodward","Blythe Danner","Robert Sean Leonard","Kyra Sedgwick","http://www.imdb.com/title/tt0100200/","//www.rottentomatoes.com/m/mr_and_mrs_bridge/"
"Space Jam","Feature Film","Comedy",88,"PG","Warner Home Video",1996,11,15,1997,8,27,6.3,105745,"Rotten",36,"Upright",63,"no","no","no","no","no","no","Joe Pytka","Michael Jordan","Charles Barkley","Patrick Ewing","Muggsy Bogues","Patrick Ewing","http://www.imdb.com/title/tt0117705/","//www.rottentomatoes.com/m/space_jam/"
"Spring Breakers","Feature Film","Drama",94,"R","A24 Films",2013,3,22,2013,7,9,5.3,104457,"Fresh",66,"Spilled",38,"no","no","no","no","no","no","Harmony Korine","Selena Gomez","James Franco","Ashley Benson","Rachel Korine","Vanessa Hudgens","http://www.imdb.com/title/tt2101441/","//www.rottentomatoes.com/m/spring_breakers_2013/"
"Fantastic Four: Rise of the Silver Surfer","Feature Film","Action & Adventure",92,"PG","20th Century Fox",2007,6,15,2007,10,2,5.6,205065,"Rotten",37,"Spilled",51,"no","no","no","no","no","no","Tim Story","Ioan Gruffudd","Jessica Alba","Chris Evans","Michael Chiklis","Julian McMahon","http://www.imdb.com/title/tt0486576/","//www.rottentomatoes.com/m/fantastic_four_2_rise_of_the_silver_surfer/"
"The Hangover","Feature Film","Comedy",100,"R","Warner Bros. Pictures",2009,6,5,2009,12,15,7.8,562136,"Certified Fresh",79,"Upright",84,"no","no","no","no","no","yes","Todd Phillips","Bradley Cooper","Ed Helms","Zach Galifianakis","Justin Bartha","Heather Graham","http://www.imdb.com/title/tt1119646/","//www.rottentomatoes.com/m/10010667-hangover/"
"The Shaggy D.A.","Feature Film","Comedy",91,"G","Walt Disney Productions",1976,12,17,2006,3,7,5.7,1778,"Rotten",50,"Spilled",44,"no","no","no","no","no","no","Robert Stevenson","Dean Jones","Keenan Wynn","Tim Conway","Suzanne Pleshette","Jo Ann Worley","http://www.imdb.com/title/tt0075200/","//www.rottentomatoes.com/m/shaggy_da/"
"Orca - The Killer Whale","Feature Film","Drama",92,"PG","Paramount Pictures",1977,7,15,2004,9,14,5.6,7628,"Rotten",15,"Spilled",33,"no","no","no","no","no","no","Michael Anderson","Richard Harris","Charlotte Rampling","Keenan Wynn","Will Sampson","Bo Derek","http://www.imdb.com/title/tt0076504/","//www.rottentomatoes.com/m/orca_the_killer_whale/"
"Tang shan da xiong (Fists of Fury) (The Big Boss)","Feature Film","Drama",100,"R","National General Pictures",1972,4,1,2005,12,13,7.1,17934,"Fresh",60,"Upright",74,"no","no","no","no","no","no","Wei Lo","Bruce Lee","Maria Yi","Nora Miao","James Tien","Mao Ker Hsiu","http://www.imdb.com/title/tt0067824/","//www.rottentomatoes.com/m/fists_of_fury/"
"The Story Of Luke","Feature Film","Drama",96,"Unrated","Gravitas Ventures",2013,4,5,2013,8,6,7.3,2502,"Fresh",80,"Upright",78,"no","no","no","no","no","no","Alonso Mayo","Lou Taylor Pucci","Seth Green","Cary Elwes","Kristin Bauer van Straten","Kenneth Welsh","http://www.imdb.com/title/tt1038693/","//www.rottentomatoes.com/m/the_story_of_luke_2012/"
"New York, New York","Feature Film","Drama",155,"PG","MGM Home Entertainment",1977,6,22,2005,2,8,6.7,13092,"Fresh",67,"Spilled",59,"no","no","yes","yes","yes","no","Martin Scorsese","Liza Minnelli","Robert De Niro","Lionel Stander","Barry Primus","Mary Kay Place","http://www.imdb.com/title/tt0076451/","//www.rottentomatoes.com/m/new_york_new_york/"
"Barbarosa","Feature Film","Other",90,"PG","LionsGate Entertainment",1982,2,19,2003,3,18,6.6,1010,"Fresh",100,"Upright",74,"no","no","no","no","no","no","Fred Schepisi","Willie Nelson","Gary Busey","Gilbert Roland","Isela Vega","Danny De La Paz","http://www.imdb.com/title/tt0083619/","//www.rottentomatoes.com/m/barbarosa/"
"Sinbad and the Eye of the Tiger","Feature Film","Action & Adventure",113,"G","Columbia Pictures",1977,1,1,2000,7,11,6.3,4687,"Fresh",63,"Spilled",55,"no","no","no","no","no","no","Sam Wanamaker","Patrick Wayne","Taryn Power","Margaret Whiting","Jane Seymour","Patrick Troughton","http://www.imdb.com/title/tt0076716/","//www.rottentomatoes.com/m/sinbad_and_the_eye_of_the_tiger/"
"K-19: The Widowmaker","Feature Film","Drama",138,"PG-13","Paramount Pictures",2002,7,19,2002,12,10,6.6,48137,"Fresh",60,"Spilled",52,"no","no","no","no","yes","no","Kathryn Bigelow","Harrison Ford","Liam Neeson","Peter Sarsgaard","Christian Camargo","Joss Ackland","http://www.imdb.com/title/tt0267626/","//www.rottentomatoes.com/m/k19_the_widowmaker/"
"What's Eating Gilbert Grape","Feature Film","Drama",118,"PG-13","Paramount Pictures",1993,12,25,2001,11,17,7.8,164112,"Certified Fresh",89,"Upright",89,"no","no","no","no","no","no","Lasse Hallstrom","Johnny Depp","Leonardo DiCaprio","Juliette Lewis","Mary Steenburgen","Darlene Cates","http://www.imdb.com/title/tt0108550/","//www.rottentomatoes.com/m/whats_eating_gilbert_grape/"
